[2025-01-15 10:58:13,818: INFO: main: Welcome to our  custom logging]
[2025-01-16 14:39:08,643: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-16 14:39:08,659: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-16 14:39:08,719: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-01-16 14:39:08,769: INFO: common: created directory at: artifacts]
[2025-01-16 14:39:08,815: INFO: common: created directory at: artifacts/data_validation]
[2025-01-16 18:37:55,927: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-16 18:37:56,171: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-16 18:37:56,184: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-01-16 18:37:56,194: INFO: common: created directory at: artifacts]
[2025-01-16 18:37:56,274: INFO: common: created directory at: artifacts/data_transformation]
[2025-01-16 18:37:57,926: INFO: 2423110621: Splited data into training and test sets]
[2025-01-16 18:37:57,936: INFO: 2423110621: (9495, 6)]
[2025-01-16 18:37:57,939: INFO: 2423110621: (3165, 6)]
[2025-01-16 18:41:54,875: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-16 18:41:55,378: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-16 18:41:55,392: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-01-16 18:41:55,398: INFO: common: created directory at: artifacts]
[2025-01-16 18:41:55,407: INFO: common: created directory at: artifacts/model_trainer]
[2025-01-16 18:45:13,942: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-16 18:45:13,949: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-16 18:45:13,960: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-01-16 18:45:13,968: INFO: common: created directory at: artifacts]
[2025-01-16 18:45:13,982: INFO: common: created directory at: artifacts/model_trainer]
[2025-01-16 18:45:46,819: INFO: 2379397588: [epoch:0]: The loss value for training part=6082070528.0]
[2025-01-16 18:47:40,568: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-16 18:47:40,588: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-16 18:47:40,602: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-01-16 18:47:40,614: INFO: common: created directory at: artifacts]
[2025-01-16 18:47:40,620: INFO: common: created directory at: artifacts/model_trainer]
[2025-01-16 18:47:46,020: INFO: 2576861259: [epoch:0]: The loss value for training part=6082070528.0]
[2025-01-16 18:49:31,624: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-16 18:49:31,635: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-16 18:49:31,652: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-01-16 18:49:31,662: INFO: common: created directory at: artifacts]
[2025-01-16 18:49:31,672: INFO: common: created directory at: artifacts/model_trainer]
[2025-01-16 18:49:38,135: INFO: 1683266060: [epoch:0]: The loss value for training part=6082070528.0]
[2025-01-16 18:50:46,242: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-16 18:50:46,317: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-16 18:50:46,331: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-01-16 18:50:46,337: INFO: common: created directory at: artifacts]
[2025-01-16 18:50:46,351: INFO: common: created directory at: artifacts/model_trainer]
[2025-01-16 18:50:51,422: INFO: 1683266060: [epoch:0]: The loss value for training part=6082070528.0]
[2025-01-16 18:51:22,858: INFO: 1683266060: [epoch:10]: The loss value for training part=6009809920.0]
[2025-01-16 18:53:09,352: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-16 18:53:09,360: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-16 18:53:09,374: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-01-16 18:53:09,386: INFO: common: created directory at: artifacts]
[2025-01-16 18:53:09,393: INFO: common: created directory at: artifacts/model_trainer]
[2025-01-16 18:53:15,252: INFO: 110644740: [epoch:0]: The training loss=6082070528.0]
[2025-01-16 18:53:47,514: INFO: 110644740: [epoch:10]: The training loss=6009809920.0]
